Nome ,Categoria,Endereço,Telefone - Google,Whatsapp,Site,Categoria de Preço,Nota,Avaliações,URL Google Maps,Socios,Faturamento,Capital Social,Quadro de Funcionarios,CNPJ,Instagram,Buscar Instagram Socios?,Instagram Socios
Centro Odontológico Ortoclean,Dentista,"Quadra 18 Lote 02 Sala 203, Etapa A - Valparaizo I, Valparaíso de Goiás - GO, 72876-054, Brasil",55 61 3627-2764,,,,"4,2",77, https://maps.google.com/?cid=12997356934850545549,"MARCIO LUIZ BASTOS LEAO, ROBERTA SOUZA DA SILVA LEAO","R$ 4800001,00 a R$ 20000000,00",10000,100 A 500 COLABORADORES,11020246000222,https://www.instagram.com/ortoclean_/,,
ODONTOMINAS - CLÍNICA ODONTOLÓGICA EM VALPARAISO GO,Clínica odontológica,"casa18 - Etapa A - Valparaiso I, Valparaíso de Goiás - GO, 72876-024, Brasil",55 61 99249-4256,,,,"4,3",64, https://maps.google.com/?cid=4674877629296871353,"PLAUTO TRINDADE MARTINS, ANDREIA BARROCA VILELA GOUVEIA MARTINS","R$ 4800001,00 a R$ 20000000,00",10000,100 A 500 COLABORADORES,17353187000100,https://www.instagram.com/clinicaodontominas1/,,
Central do Dente Odontologia,Clínica odontológica,"Etapa A, 01 - QUADRA 08 LOTE 34 - Valparaizo I, Valparaíso de Goiás - GO, 72870-108, Brasil",55 61 99240-4355,,,,"4,9",92, https://maps.google.com/?cid=13852044084608425251,"MOISES CLAUDIO DE SOUZA, MICHELY DOS SANTOS MENDES","R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,18792170000111,https://www.instagram.com/centraldodente_/,,
GODENT,Clínica odontológica,"LOTE 22 - Etapa A - Valparaizo I, Valparaíso de Goiás - GO, 72876-054, Brasil",55 61 3629-5409,556136295409,https://www.clinicagodent.com.br/,,5,418, https://maps.google.com/?cid=17820620414898621053,TAYLOR HENRIQUE OLIVEIRA,"R$ 81001,00 a R$ 3600000,00",100000,3 A 9 COLABORADORES,19585559000159,https://www.instagram.com/clinica_godent,,
VOO ODONTO,Clínica odontológica,"Parque Valparaiso II - Av. 15 de Junho - VALPARAISO II, Valparaíso de Goiás - GO, 72870-001, Brasil",55 61 99994-5713,,https://www.instagram.com/holy.odontologiaa?igsh=MXkyam96ZXBjYnhpcw==,,5,101, https://maps.google.com/?cid=4742526043102987738,"LUCIANA MENDES LACERDA, JESSICA LACERDA JACOME DOS SANTOS","R$ 81001,00 a R$ 3600000,00",20000,3 A 9 COLABORADORES,53899854000118,Não Encontrado,,
Climed Und. I - Clinica de Medicina Especializada - Unidade Valparaíso I,Policlínica,"Etapa A, 27 - Quadra 08, Casa - Valparaizo I, Valparaíso de Goiás - GO, 72876-024, Brasil",55 61 3627-8100,556191617369,https://climedvalparaiso.com.br/,,"3,4",820, https://maps.google.com/?cid=17962639407609648053,"LUIZA MARCIA SIMOES DA SILVA, EDSON ALBERTO BORGES MORAES, CESAR LUIS COSTA DOS SANTOS","R$ 4800001,00 a R$ 20000000,00",3300000,100 A 500 COLABORADORES,86981750000107,https://www.instagram.com/climedvalparaiso,,
Clínica Odontológica Monteiro,Dentista,"Avenida Comercial Valparaiso 2, Q. 08, 07 - LOJA 02 - Parque Rio Branco, Valparaíso de Goiás - GO, 72870-083, Brasil",55 61 3025-6899,,,,"4,5",59, https://maps.google.com/?cid=11655639598146405258,"LIVIA CRISTINE VAZ MONTEIRO, MARCIO GABRIEL SILVA LIMA","R$ 4800001,00 a R$ 20000000,00",30000,100 A 500 COLABORADORES,20722056000167,https://www.instagram.com/clinicamonteiroo/,,
Dentoplac,Clínica de implante dentário,"Quadra 2, Etapa A, 1 - Salas 201-204, Valparaíso de Goiás - GO, 72876-005, Brasil",55 61 98431-2925,61984312927,http://dentoplac.com/,,"4,8",182, https://maps.google.com/?cid=2443523008796338248,"LUIZ HENRIQUE OLIVEIRA REZENDE, JULIANA MARTELLETTO DENIPOTI REZENDE","R$ 81001,00 a R$ 3600000,00",9000,3 A 9 COLABORADORES,3541229000121,https://www.instagram.com/dentoplac,,
Alcanci Clínica Odontológica,Clínica odontológica,"Qd 24 Lote 02 sobreloja 01, Etapa A, Valparaíso de Goiás - GO, 72876-072, Brasil",55 61 3627-6677,,https://instagram.com/_.aerreodontologia._?igshid=nlg20bmclg5n,,"4,9",27, https://maps.google.com/?cid=2107887674847413060,,,,,CNPJ não encontrado nos resultados fornecidos,https://www.instagram.com/odontoclinica.valparaiso/,,
GODENT,Clínica odontológica,"LOTE 22 - Etapa A - Valparaizo I, Valparaíso de Goiás - GO, 72876-054, Brasil",55 61 3629-5409,556136295409,https://www.clinicagodent.com.br/,,5,418, https://maps.google.com/?cid=17820620414898621053,TAYLOR HENRIQUE OLIVEIRA,"R$ 81001,00 a R$ 3600000,00",100000,3 A 9 COLABORADORES,19585559000159,https://www.instagram.com/clinica_godent,,
Doc Inplan,Clínica odontológica,"Q.14 N 8 VALPARAISO I - ETAPA A VALPARAISO I, Etapa A, Valparaíso de Goiás - GO, 72876-042, Brasil",55 61 99308-2882,NÃO ENCONTRADO,http://docinplan.com.br/,,"4,7",55, https://maps.google.com/?cid=14867160251353861735,VITORIA DA COSTA VENTURA,"R$ 81001,00 a R$ 3600000,00",20000,3 A 9 COLABORADORES,46961217000169,https://www.instagram.com/inplanvalparaiso/,,
Clinica INOVA,Dentista,"Quadra 02, Lote 01 Valparaiso 1 Sala 205/208, Etapa A, Valparaíso de Goiás - GO, 72876-005, Brasil",55 61 3627-5383,,,,5,13, https://maps.google.com/?cid=12714329611542521335,FABIO WESTIN DIAS,"R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,5240112000133,https://www.instagram.com/inovaodontologia/,,
Santa Cruz Odontologia,Clínica odontológica,"Etapa A, Q. 6, 7 - I, Valparaíso de Goiás - GO, 72876-018, Brasil",55 61 3627-3288,,,,"4,6",72, https://maps.google.com/?cid=1702601995882460241,ALFREDO GOMES CRUZ,"R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,36252032000121,https://www.instagram.com/santacruzodontologia/,,
Clinica Master Prime Odontologia,Clínica odontológica,"QUADRA 10 LOTE 32, 1 ANDAR, SALA 104 E 105 - Parque Esplanada III, Valparaíso de Goiás - GO, 72876-310, Brasil",55 61 3629-4900,,,,4,21, https://maps.google.com/?cid=9222411252317927958,CICERO DE SOUZA GOMES,"R$ 81001,00 a R$ 3600000,00",150000,3 A 9 COLABORADORES,41188441000146,https://www.instagram.com/masterprimeodontologia/,,
Odontoclínica,Clínica odontológica,"Etapa A - Valparaizo I, Valparaíso de Goiás - GO, 72876-030, Brasil",55 61 3627-1008,NÃO ENCONTRADO,http://grupoodontoclinica.com.br/,,3,2, https://maps.google.com/?cid=5469669856704517524,"FELIPE DE SOUZA MENDONCA, CLARISSE ALVES GOMES MENDONCA, ANTONIO CESAR GOMES DOS SANTOS","R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,62114255000132,https://www.instagram.com/odontoexcellencevalparaiso/,,
Rede Novo Odontologia,Clínica odontológica,"Ed. Val Center - Etapa B Bloco D Sala 101 e 103 - I, Valparaíso de Goiás - GO, 72876-108, Brasil",55 61 98136-6350,,https://www.instagram.com/odontoredenovo/,,5,32, https://maps.google.com/?cid=4679036673230536061,"NICOLLY MARCAL DE LIMA FRANCO, ROGERIO JUNIO DA SILVA","R$ 81001,00 a R$ 3600000,00",60000,3 A 9 COLABORADORES,55225228000171,https://www.instagram.com/odontoredenovo/,,
Horus Soares Odontologia - Dentista Valparaíso,Clínica odontológica,"Prédio da Magazine Luiza - R. 19, Quadra 60, lote 17, 3º andar, Sala 202 - Novo Jardim Oriente, Valparaíso de Goiás - GO, 72870-263, Brasil",55 61 3020-2822,,https://www.instagram.com/horusodontologia_/,,"4,8",38, https://maps.google.com/?cid=15643601417269336301,,"R$ 81001,00 a R$ 3600000,00",20000,3 A 9 COLABORADORES,29473710000110,https://www.instagram.com/horusodontologia_/,,
Centro Radiológico Odontológico Digital Face - Unidade Valparaiso,Radiologia odontológica,"Quadra 12, Lote 01 - Valparaiso I Etapa A, Sala 201 - Valparaizo I, Valparaíso de Goiás - GO, 72876-005, Brasil",55 61 3054-9449,,,,"3,3",34, https://maps.google.com/?cid=6491505820278166004,"MARIANE DA LUZ, ZILMAR JOSE FAGUNDES DA LUZ","R$ 81001,00 a R$ 3600000,00",220000,3 A 9 COLABORADORES,5958552000120,https://www.instagram.com/digitalface_/,,
Centro Clínico de Valparaíso,Policlínica,"Quadra 18, Etapa A, lote 46, Valparaíso de Goiás - GO, 72876-054, Brasil",55 61 3627-4646,556136274646,http://www.ccvalparaiso.com.br/,,"3,1",162, https://maps.google.com/?cid=10446997584398467411,"ANDRE TORRES, ANDREA MACHADO COSTA TORRES","R$ 360001,00 a R$ 4800000,00",0,20 A 99 COLABORADORES,457272000115,https://www.instagram.com/centroclinicovalparaiso,,
Alcanci Clínica Odontológica,Clínica odontológica,"Qd 24 Lote 02 sobreloja 01, Etapa A, Valparaíso de Goiás - GO, 72876-072, Brasil",55 61 3627-6677,,https://instagram.com/_.aerreodontologia._?igshid=nlg20bmclg5n,,"4,9",27, https://maps.google.com/?cid=2107887674847413060,"ADRIANA RODRIGUES PEREIRA, KAREM KAUANY LINS DOUETTS, FABIO DE OLIVEIRA FEIJAO","R$ 81001,00 a R$ 3600000,00",30000,3 A 9 COLABORADORES,45453162000113,https://www.instagram.com/odontoclinica.valparaiso/,,
Clinica Personal Odontologia,Cirurgião dentista,"Valparaizo I, Valparaíso de Goiás - GO, Brasil",55 61 99142-0697,,,,2,48, https://maps.google.com/?cid=18045926186826677117,"DIOGO VITURINO DE ARAUJO, JUCILENE DE SOUSA DIAS","R$ 81001,00 a R$ 3600000,00",30000,3 A 9 COLABORADORES,28653915000115,https://www.instagram.com/personal.odontologia/,,
Odonto Isa,Dentista,"R. Seis, 15 - Valparaizo II, Valparaíso de Goiás - GO, 72870-055, Brasil",55 61 3627-9703,,,,"3,4",123, https://maps.google.com/?cid=15025934793722087889,ISABELITA DA SILVA CORREIA,"R$ 81001,00 a R$ 3600000,00",78800,3 A 9 COLABORADORES,22399366000118,https://www.instagram.com/odontoisa11/,,
Clínica Setti - Dentista em Valparaíso,Clínica odontológica,"Edifício Torre Center - Quadra 3, Lote 42, Sala 201 - Valparaiso II, Valparaíso de Goiás - GO, 72870-102, Brasil",55 61 99516-8320,,,,"4,1",14, https://maps.google.com/?cid=2819409394954596287,ANE CAROLINA CORTE DIOGO DA SILVA,"R$ 81001,00 a R$ 3600000,00",30000,3 A 9 COLABORADORES,51480191000177,https://www.instagram.com/clinica.setti.val/,,
Radiologia Paulo de Tarso,Radiologista,"Etapa A, 1 - quadra 4 lote 2 - Valparaiso I, Valparaíso de Goiás - GO, 72870-237, Brasil",55 61 3669-2206,,,,"3,2",115, https://maps.google.com/?cid=1081179282467401577,"DEBORA DA SILVA LOESCH, PAULO DE TARSO RIBEIRO","R$ 81001,00 a R$ 3600000,00",10000,3 A 9 COLABORADORES,7959494000185,https://www.instagram.com/explore/locations/271719459533440/paulo-de-tarso-radiologia-odontologica/,,
Rede Vida Mais Saúde,Clínica odontológica,"R. 18, Quadra 60 - Lote 12 - Novo Jardim Oriente, Valparaíso de Goiás - GO, 72870-217, Brasil",55 61 99274-3297,5561992743297,https://redevidamaissaude.com.br/,,5,5, https://maps.google.com/?cid=9494517900480199739,"RILDO ECIO FRANCELINO DE SOUSA, MIRIA DIVINA SOUSA DA SILVA","R$ 81001,00 a R$ 3600000,00",750000,3 A 9 COLABORADORES,62434755000151,https://www.instagram.com/redevidamaissaude/,,
Odonto Clin Valparaiso,Clínica odontológica,"Avenida 15 de Junho, Q. 5, 14 - Sl 102, Valparaíso de Goiás - GO, 72870-083, Brasil",55 61 99893-1444,,,,5,1, https://maps.google.com/?cid=18055680898346551164,FERNANDA MATIAS RAMALHO MONTENEGRO,"R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,52068375000197,https://www.instagram.com/primedentsvalparaiso/,,
SC Odontologia Integrada,Clínica odontológica,"Quadra 13 05 B Comercial select 1 - Parque Esplanada III, Valparaíso de Goiás - GO, 72876-313, Brasil",55 61 99205-4475,5561992054475,https://scodontologiaintegrada.com.br/,,5,142, https://maps.google.com/?cid=13789104160664360150,SAMUEL GONCALVES CARDOSO,"R$ 81001,00 a R$ 3600000,00",100000,3 A 9 COLABORADORES,61413968000134,https://www.instagram.com/sc.clinicaodonto,,
Instituto Orthos Integrato - Clínica Odontológica,Dentista,"Etapa A, Quadra 04, Lote 01, Térreo - Valparaizo I, Valparaíso de Goiás - GO, 72876-011, Brasil",55 61 3627-1078,,,,5,12, https://maps.google.com/?cid=13755167127880283917,"CARLOS ROBERTO DE MENDONCA, CARLOS ROBERTO DE MENDONCA JUNIOR, CARLA MAISA TEODORO DE MENDONCA","R$ 81001,00 a R$ 3600000,00",50000,3 A 9 COLABORADORES,39454374000112,https://www.instagram.com/orthos.integrato/,,
Instituto Rn Odonto e Estética - unidade Valparaiso - Go,Dentista,"R. Paraná, 407-437 - Chácaras Anhanguera, Valparaíso de Goiás - GO, 72870-971, Brasil",55 61 99506-3825,NÃO ENCONTRADO,https://rnodonto.com.br/,,"4,8",51, https://maps.google.com/?cid=13031002635317140159,LUCIANA RAMOS NUNES MORATO,"R$ 81001,00 a R$ 3600000,00",110000,3 A 9 COLABORADORES,41955357000100,https://www.instagram.com/institutornodonto/,,
